_time,_value
2023-03-10T07:26:24.705475494Z,0.8142
2023-03-10T07:26:25.820346381Z,0.8146
2023-03-10T07:26:26.935225868Z,0.8127
2023-03-10T07:26:28.050089154Z,0.8143
2023-03-10T07:26:29.165097454Z,0.8032
2023-03-10T07:26:30.280257357Z,0.8143
2023-03-10T07:26:31.395114556Z,0.8177
2023-03-10T07:26:32.510769765Z,0.8178
2023-03-10T07:26:33.626033469Z,0.8268
2023-03-10T07:26:34.74102637Z,0.8361
2023-03-10T07:26:35.856211573Z,0.8088
2023-03-10T07:26:36.971097158Z,0.8176
2023-03-10T07:26:38.086081037Z,0.7739
2023-03-10T07:26:39.20134622Z,0.7816
2023-03-10T07:26:40.316223398Z,0.779
2023-03-10T07:26:41.432355291Z,0.7844
2023-03-10T07:26:42.547753875Z,0.8215
2023-03-10T07:26:43.66069873Z,0.8354
2023-03-10T07:26:44.777110819Z,0.8155
2023-03-10T07:26:45.891800978Z,0.8454
2023-03-10T07:26:47.010087982Z,0.8259
2023-03-10T07:26:48.121811205Z,0.8071
2023-03-10T07:26:49.23689887Z,0.8163
2023-03-10T07:26:50.35163563Z,0.8085
2023-03-10T07:26:51.474630791Z,0.8221
2023-03-10T07:26:52.582966761Z,0.8275
2023-03-10T07:26:53.697216479Z,0.8174
2023-03-10T07:26:54.812856613Z,0.8066
2023-03-10T07:26:55.938364467Z,0.8087
2023-03-10T07:26:57.042403761Z,0.8154
2023-03-10T07:26:58.157319587Z,0.7542
2023-03-10T07:26:59.272144011Z,0.7193
2023-03-10T07:27:00.387292942Z,0.7245
2023-03-10T07:27:01.51657946Z,0.7325
2023-03-10T07:27:02.617655536Z,0.8227
2023-03-10T07:27:03.744449424Z,0.8305
2023-03-10T07:27:04.853583098Z,0.8577
2023-03-10T07:27:05.962034463Z,0.8266
2023-03-10T07:27:07.076903906Z,0.8203
2023-03-10T07:27:08.192006152Z,0.8105
2023-03-10T07:27:09.307177126Z,0.7818
2023-03-10T07:27:10.426127048Z,0.7842
2023-03-10T07:27:11.540674116Z,0.8188
2023-03-10T07:27:12.655119382Z,0.8522
2023-03-10T07:27:13.767775927Z,0.8223
2023-03-10T07:27:14.884591823Z,0.8091
2023-03-10T07:27:16.011076136Z,0.8143
2023-03-10T07:27:17.111488678Z,0.8178
2023-03-10T07:27:18.226741415Z,0.8058
2023-03-10T07:27:19.342469758Z,0.8214
2023-03-10T07:27:20.540221903Z,0.8562
2023-03-10T07:27:21.617581977Z,0.8192
2023-03-10T07:27:22.708897021Z,0.7338
2023-03-10T07:27:23.823538951Z,0.7182
2023-03-10T07:27:24.916484649Z,0.7259
2023-03-10T07:27:26.031933419Z,0.7191
2023-03-10T07:27:27.14659338Z,0.7194
2023-03-10T07:27:28.26282156Z,0.7166
2023-03-10T07:27:29.376674111Z,0.7229
2023-03-10T07:27:30.491745877Z,0.7167
2023-03-10T07:27:31.610896093Z,0.7245
2023-03-10T07:27:32.721995321Z,0.724
2023-03-10T07:27:33.837303964Z,0.7147
2023-03-10T07:27:34.951188391Z,0.7215
2023-03-10T07:27:36.068459158Z,0.719
2023-03-10T07:27:37.181593075Z,0.7221
2023-03-10T07:27:38.301594676Z,0.7219
2023-03-10T07:27:39.411131949Z,0.7169
2023-03-10T07:27:40.526280281Z,0.7254
2023-03-10T07:27:41.640908471Z,0.7149
2023-03-10T07:27:42.763296255Z,0.7243
2023-03-10T07:27:43.876660429Z,0.7203
2023-03-10T07:27:44.986077155Z,0.7177
2023-03-10T07:27:46.10281327Z,0.7252
2023-03-10T07:27:47.218943878Z,0.7153
2023-03-10T07:27:48.334229178Z,0.7242
2023-03-10T07:27:49.445711034Z,0.7154
2023-03-10T07:27:50.569062035Z,0.7205
2023-03-10T07:27:51.698214208Z,0.7221
2023-03-10T07:27:52.792731755Z,0.7154
2023-03-10T07:27:53.906248436Z,0.722
2023-03-10T07:27:55.021082733Z,0.7153
2023-03-10T07:27:56.172680982Z,0.7264
